building_name	bldg_id	no_of_cluster_spec_rms_reported	geo_dist	org_id	prek_cap	incl_class	no_of_cluster_rms_needed	organization_name	enroll	target_capacity	target_utilization
LOUIS D. BRANDEIS HS - M	M470	4	3	M523	0		3	UPPER WEST SUCCESS ACADEMY CHARTER SCHOOL - M	400	439	91
MARTIN LUTHER KING, JR. HS - M	M490	7	3	M541			0	HUNTER SCIENCE HS - M	460	672	68
P.S. 75 - M	M075		3	M811		"#"		M811 SPED - M	7	0	0
P.S. 149 (TANDEM M207) - M	M149		3	M811		*		M811 SPED - M	80	128	63
P.S. 163 - M**	M163		3	M811		"#"		M811 SPED - M	6	0	0
P.S. 207 (TANDEM M149) - M	M207		3	M811				M811 SPED - M			
P.S. 811 (OLD P148/LIVINGS HS) - M	M841		3	M811	0		0	M811 SPED - M	189	183	103
MARTIN LUTHER KING, JR. HS - M	M490		3	M859				P.S. 859 - M	50	81	62
SPECIAL MUSIC SCHOOL - M	M932	3	3	M859	0		2	P.S. 859 - M	141	195	72
I.S. 88 - M	M088	3	3	M860			0	J.H.S. 860 - M	429	527	81
P.S. 242 (OLD P144) - M	M144	0	3	M861	0		3	FUTURE LEADERS CHARTER SCHOOL - M	375	410	91
P.S. 165 - M	M165	0	3	M862			0	I.S. 862 - M	345	332	104
MID MAN ADULT LRNG CTR (81) - M	M081	16	3	M951			0	MID-MAN ADULT LEARNING CENTER - M	0	606	0
MID MAN ADULT LRNG CTR (81) - M	M081		3	M984				LYFE			
LOUIS D. BRANDEIS HS - M	M470		3	M984				LYFE			
EDWARD A. REYNOLDS WEST SIDE HS-M	M506		3	M984				LYFE			
I.S. 118 - M	M118		3	MADM				CEC COUNCIL - M			
I.S. 54 - M	M054		3	MCBO				RYAN CENTER - M			
P.S. 76 - M	M076		3	MCBO				HARLEM CHILDRENS ZONE - M			
I.S. 118 - M	M118		3	MCBO				BEACON PROGRAM - M			
P.S. 149 (TANDEM M207) - M	M149		3	MCBO				HARLEM GEM - M			
LOUIS D. BRANDEIS HS - M	M470		3	MCBO				GRAND STREET/RAPP - M			
P.S. 76 - M	M076		3	MDRG				DRUG PROGRAM - M			
LOUIS D. BRANDEIS HS - M	M470		3	MSBH				ST. LUKES HOSPITAL - M			
P.S. 241 - M	M113		3	MSFS				FOOD SERVICES - M			
P.S. 208 (TANDEM M185) - M	M208		3	MSFS				FOOD SERVICES - M			
LOUIS D. BRANDEIS HS - M	M470		3	MSST				SCHOOL SAFETY - M			
MARTIN LUTHER KING, JR. HS - M	M490		3	MSST				SCHOOL SAFETY/VIRTUAL ENTERPR OTHER - M			
LOUIS D. BRANDEIS HS - M	M470		3	MUFT				UFT USE - M			
P.S. 7 - M	M007	5	4	M007	36		3	P.S. 7 - M	391	524	75
J.H.S. 117 - M	M117	4	4	M012	0		3	I.S. 12 - M	533	464	115
I.S. 13 - M	M013	0	4	M013			0	I.S. 13 - M	107	163	66
P.S. 206 (TANDEM M112) - M	M206	2	4	M037	0		2	P.S. 37 - M	208	230	90
P.S. 38 (OLD M121) - M	M121	1	4	M038	36		3	P.S. 38 - M	283	267	106
P.S. 50 (UDC & ECF) - M	M050	3	4	M050	0		3	P.S. 50 - M	304	471	65
P.S. 57 - M	M057	3	4	M057	36		4	P.S. 57 - M	843	902	93
P.S. 72 - M	M072	5	4	M072	54		3	P.S. 72 - M	499	696	72
P.S. 83 - M	M083	0	4	M083	18		3	P.S. 83 - M	460	309	149
P.S. 96 - M	M096	6	4	M096	36		3	P.S. 96 - M	506	738	69
P.S. 102 - M	M102	2	4	M102	36		3	P.S. 102 - M	317	401	79
P.S. 108 - M	M108	6	4	M108	18		3	P.S. 108 - M	676	778	87
P.S. 112 (TANDEM M206) - M	M112	4	4	M112	36		3	P.S. 112 - M	361	494	73
J.H.S. 117 - M	M117		4	M138		*		M138 SPED - M	59	60	98
P.S. 146 - M	M146	8	4	M146	18		3	P.S. 146 - M	420	705	60
P.S. 155 - M	M155	1	4	M155	30		3	P.S. 155 - M	367	350	105
I.S. 13 - M	M013	0	4	M168	0		1	EAST HARLEM SCHOLARS ACADEMY CHARTER SCHOOL II - M	109	100	109
P.S. 102 - M	M102		4	M169				M169 SPED - M	30	39	77
P.S. 146 - M	M146		4	M169				M169 SPED - M	18	24	75
MANHTN CT FOR MATH & SCI. HS - M	M435		4	M169		"#"		M169 SPED - M	11	0	0
P.S. 171 - M	M171	5	4	M171	35		3	P.S. 171 - M	731	751	97
P.S. 83 - M	M083	0	4	M182	0		3	P.S. 182 - M	376	351	107
P.S. 206 (TANDEM M112) - M	M206	4	4	M206	0		3	P.S. 206 - M	442	457	97
I.S. 99 - M	M099	5	4	M224			0	I.S. 224 - M	188	308	61
I.S. 45 - M	M045	3	4	M335	0		3	VILLAGE ACADEMY CHARTER SCL - M	692	801	86
P.S. 50 (UDC & ECF) - M	M050		4	M337	0		0	NY CENTER FOR AUTISM CHARTER - M	32	64	50
J.H.S. 117 - M	M117	4	4	M372			0	I.S. 372 - M	424	660	64
P.S. 101 - M	M101	2	4	M375	36		3	PS/IS 375 - M	331	262	126
P.S. 155 - M	M155	3	4	M377			0	I.S. 377 - M	160	343	47
J.H.S. 117 - M	M117	4	4	M381			0	GLOBAL NEIGHBORHOOD - M	153	223	69
P.S. 50 (UDC & ECF) - M	M050		4	M382				DREAM CHARTER SCHOOL - M	100	107	93
P.S. 38 (OLD M121) - M	M121	1	4	M382	0		3	DREAM CHARTER SCHOOL - M	243	173	140
I.S. 99 - M	M099		4	M385				HARLEM SUCCESS ACADEMY III - M	88	125	70
P.S. 101 - M	M101	4	4	M385	0		3	HARLEM SUCCESS ACADEMY III - M	579	491	118
P.S. 7 - M	M007	1	4	M406			0	GLOBAL TECHNOLOGY PREPARATORY	178	210	85
I.S. 45 - M	M045	8	4	M409			0	COAL. SCHOOL FOR SOCIAL CHANGE - M	311	511	61
I.S. 99 - M	M099	1	4	M433			0	RENNAISSANCE CHARTER HS - M	436	536	81
MANHTN CT FOR MATH & SCI. HS - M	M435	21	4	M435			0	MANHTN CT FOR MATH & SCI. HS - M	1588	1395	114
PARK EAST HS - M	M495	2	4	M495			0	PARK EAST HS - M	409	329	124
I.S. 13 - M	M013	2	4	M497	18		2	P.S. 497 - M	203	194	105
I.S. 13 - M	M013	1	4	M518	0		2	EAST HARLEM SCHOLARS ACADEMY CHARTER SCHOOL I - M	225	180	125
I.S. 13 - M	M013	5	4	M555			0	CENTRAL PARK EAST HS - M	479	601	80
YOUNG WOMEN'S LEADERSHIP HS - M	M895	5	4	M610			0	YOUNG WOMEN'S LEADERSHIP HS - M	464	532	87
I.S. 99 - M	M099	2	4	M635			0	ENVIRONMENTAL SCI SEC. SCL - M	17	129	13
THE HERITAGE SCHOOL - M	M107	2	4	M680			0	THE HERITAGE SCHOOL - M	351	257	137
I.S. 99 - M	M099	2	4	M708			0	HARLEM DAY CHARTER SCHOOL - M	226	247	91
P.S. 101 - M	M101		4	M811				M811 SPED - M	46	66	70
MANHTN CT FOR MATH & SCI. HS - M	M435	4	4	M825			0	I.S. 825 - M	324	510	64
P.S. 171 - M	M171	2	4	M964	18		3	P.S. 964 - M	261	221	118
P.S. 7 - M	M007		4	MADM				DISTRICT OFFICE #5 - M			
P.S. 7 - M	M007		4	MCBO				EAST HARLEM COUNCIL - M			
I.S. 45 - M	M045		4	MCBO				HARLEM DNA LAB			
P.S. 50 (UDC & ECF) - M	M050		4	MCBO				CHILDRENS AID - M			
I.S. 99 - M	M099		4	MCBO				COMMUNITY BASED ORGANIZATION - M			
P.S. 101 - M	M101		4	MCBO				ICE HOCKEY IN HARLEM - M			
P.S. 102 - M	M102		4	MCBO				EDUCATION THROUGH MUSIC - M			
P.S. 146 - M	M146		4	MCBO				INTERN. CTR FOR DISABL - M			
P.S. 112 (TANDEM M206) - M	M112		4	MSBH				BORINKEN HEALTH CENTER - M			
J.H.S. 117 - M	M117		4	MSBH				MT. SINAI CLINIC - M			
P.S. 38 (OLD M121) - M	M121		4	MSBH				MT. SINAI - M			
P.S. 30 - M	M030	4	5	M030	36		3	P.S. 30 - M	295	449	66
P.S. 36 - M	M036	4	5	M036	90		3	P.S. 36 - M	528	786	67
P.S. 46 - M	M046	4	5	M046	54		4	P.S. 46 - M	789	851	93
P.S. 46 MINISCHOOL - M	M846		5	M046				P.S. 46 - M	54	73	74
P.S. 154 - M	M154	3	5	M065			0	DEMOCRACY PREP 3	222	262	85
P.S. 79 (MULT. HANDICAP) - M	M079		5	M079	0		0	M079 SPED - M	251	312	80
P.S. 92 - M	M092	4	5	M092	18		3	P.S. 92 - M	262	274	96
P.S. 123 - M	M123	4	5	M123	54		3	P.S. 123 - M	602	673	89
P.S. 125 - M	M125	1	5	M125	36		2	P.S. 125 - M	193	213	91
P.S. 129 - M	M129	8	5	M129	36		3	P.S. 129 - M	562	776	72
P.S. 133 - M	M133	1	5	M133	18		3	P.S. 133 - M	251	424	59
P.S. 30 - M	M030		5	M138	0	*	0	M138 SPED - M	137	126	109
I.S. 136 - M	M136	0	5	M148			0	EAGLE ACADEMY FOR YOUNG MEN OF HARLEM	67	103	65
P.S. 154 - M	M154	4	5	M154	36		3	P.S. 154 - M	319	444	72
ARTHUR SCHOMBURG HS (IS 201) - M	M501	1	5	M157			0	THE URBAN ASSEMBLY SCHOOL FOR GLOBAL COMMERCE - M	82	100	82
P.S. 161 - M	M161	5	5	M161	0		4	P.S. 161 - M	913	887	103
P.S. 175 - M	M175	3	5	M175	18		3	P.S. 175 - M	377	391	96
P.S. 194 - M	M194	3	5	M194	15		2	P.S. 194 - M	212	281	75
P.S. 197 - M	M197	2	5	M197	29		3	P.S. 197 - M	303	397	76
P.S. 200 (TANDEM M010) - M	M200	5	5	M200	36		3	P.S. 200 - M	501	739	68
I.S. 223 (MOTT HALL) - M	M223	4	5	M223			0	I.S. 223 - M	283	329	86
HARLEM RENAISSANCE HS (OLD M24)-M	M911	3	5	M285			0	HARLEM RENAISSANCE HS - M	232	341	68
I.S. 172 (OLD 43) - M	M043	0	5	M286			0	I.S. 286 - M	172	333	52
I.S. 136 - M	M136	0	5	M302			0	I.S. 302 - M	197	307	64
I.S. 136 - M	M136	1	5	M304			0	MOTT HALL HS - M	425	380	112
P.S. 318 - M	M371	1	5	M318	0		2	P.S. 318 - M	220	189	116
TERENCE D. TOLBERT EDUCATION COMPLEX - M	M195	7	5	M336	34		4	KIPP INFINITY CHARTER SCHOOL - M	1002	1160	86
ARTHUR SCHOMBURG HS (IS 201) - M	M501	6	5	M341	0		3	PROMISE ACADEMY II - M	664	549	121
P.S. 92 - M	M092	2	5	M350			0	DEMOCRACY PREP CHARTER - M	371	339	109
P.S. 197 - M	M197		5	M350				DEMOCRACY PREP CHARTER - M	355	312	114
P.S. 125 - M	M125	5	5	M362			0	I.S. 362 - M	664	648	102
I.S. 172 (OLD 43) - M	M043	1	5	M367			0	I.S. 367 - M	309	408	76
I.S. 172 (OLD 43) - M	M043	4	5	M369			0	I.S. 369 - M	354	451	78
P.S. 30 - M	M030	4	5	M384	0		3	HARLEM SUCCESS ACADEMY II - M	748	581	129
P.S. 92 - M	M092	1	5	M388	0		3	ST. HOPE ACADEMY CHARTER - M	298	252	118
I.S. 172 (OLD 43) - M	M043	1	5	M410			0	THE URBAN ASSEMBLY INSTITUTE FOR NEW TECHNOLOGIES	96	322	30
ARTHUR SCHOMBURG HS (IS 201) - M	M501	8	5	M469			0	CHOIR ACAD OF HARLEM - M	179	367	49
ARTHUR SCHOMBURG HS (IS 201) - M	M501	0	5	M481			0	DEMOCRACY PREP HARLEM CHARTER SCHL - M	116	86	135
P.S. 123 - M	M123	6	5	M482	0		3	HARLEM SUCCESS ACADEMY CHARTER SCL 5 - M	360	261	138
P.S. 175 - M	M175		5	M482				HARLEM SUCCESS ACADEMY CHARTER SCL 5 - M	76	345	22
I.S. 10 (TANDEM M200) - M	M010	18	5	M499			0	FREDERICK DOUGLAS ACADEMY - M	1489	1680	89
TERENCE D. TOLBERT EDUCATION COMPLEX - M	M195	2	5	M514			0	NEW DESIGN MIDDLE SCHOOL - M	309	394	78
TEACHERS COLLEGE COMMUNITY SCHOOL - M	M916	1	5	M517	28		2	TEACHER'S COLLEGE COMMUNITY SCHOOL- M	167	213	78
THURGOOD MARSHALL ACAD. - M	M970	6	5	M670			0	THURGOOD MARSHALL ACADEMY - M	572	645	89
I.S. 136 - M	M136	5	5	M685			0	BREAD AND ROSES HS - M	274	452	61
P.S. 194 - M	M194	1	5	M709	0		3	HARLEM VILLAGE ACADEMY CHARTER-M	283	308	92
P.S. 125 - M	M125	2	5	M726			0	KIPP-STAR CHARTER SCHOOL - M	338	342	99
HARLEM RENAISSANCE HS (OLD M24)-M	M911		5	M984				LYFE			
ARTHUR SCHOMBURG HS (IS 201) - M	M501	0	5	M993			0	ALTERNATIVE LEARNING CENTER - M	0	98	0
P.S. 125 - M	M125		5	MADM				DISTRICT OFFICE #5 - M			
P.S. 133 - M	M133		5	MADM				OSHA - M			
ARTHUR SCHOMBURG HS (IS 201) - M	M501		5	MADM				REGION 10 SUSPENSION SITE - M			
P.S. 133 - M	M133		5	MCBO				HAR CHIL ZONE/CHILDREN OF WORLD-M			
I.S. 136 - M	M136		5	MCBO				COL. PRES./PRINT SHOP - M			
P.S. 154 - M	M154		5	MCBO				HARLEM CHILDRENS ZONE - M			
THURGOOD MARSHALL ACAD. - M	M970		5	MSBH				COLUMBIA PRESBYTERIAN - M			
I.S. 10 (TANDEM M200) - M	M010		5	MSFS				FOOD SERVICES - M			
P.S. 125 - M	M125		5	MSFS				FOOD SERVICES - M			
I.S. 136 - M	M136		5	MSST				SCHOOL SAFETY - M			
THURGOOD MARSHALL ACAD. - M	M970		5	MSST				SCHOOL SAFETY - M			
P.S. 154 - M	M154		5	MUFT				UFT USE - M			
HARLEM RENAISSANCE HS (OLD M24)-M	M911		5	Q950				PATHWAYS TO GRADUATION - Q	42	57	74
P.S. 4 - M	M004	3	6	M004	32		3	P.S. 4 - M	730	597	122
P.S. 5 - M**	M005	3	6	M005	0		6	P.S. 5 - M	674	742	91
P.S. 5 TRANSPORTABLE - M	M921		6	M005				P.S. 5 - M	0		
P.S. 8 - M	M008	2	6	M008	0		3	P.S. 8 - M	560	481	116
P.S. 18 ANNEX (GYM) - M	M884		6	M018				P.S. 18 - M	0	0	
P.S. 18 - M	M898	0	6	M018	0		3	P.S. 18 - M	432	353	122
P.S. 28 - M	M028	7	6	M028	36		4	P.S. 28 - M	816	912	89
P.S. 48 - M**	M048	2	6	M048	36		6	P.S. 48 - M	524	566	110
P.S. 48 TRANSPORTABLE - M	M902		6	M048				P.S. 48 - M	100		
I.S. 52 - M	M052	10	6	M052			0	I.S. 52 - M	533	870	61
I.S. 90 - M	M090	1	6	M068	0		2	KIPP NYC WASHINGTON HEIGHTS ACADEMY I CS	202	96	210
P.S. 98 - M	M098	7	6	M098	54		3	P.S. 98 - M	514	768	67
P.S. 98 MINISCHOOL - M	M845		6	M098				P.S. 98 - M	88	73	121
P.S. 132 - M	M132	1	6	M103	0		1	DOS PUENTES ELEMENTARY SCHOOL	69	50	138
P.S. 115 - M	M115	3	6	M115	36		3	P.S. 115 - M	588	656	90
P.S. 128 - M	M128	4	6	M128	54		3	P.S. 128 - M	603	776	78
P.S. 132 - M	M132	5	6	M132	0		3	P.S. 132 - M	632	668	95
P.S. 48 - M**	M048		6	M138		*		M138 SPED - M	24	25	96
I.S. 90 - M	M090		6	M138		*		M138 SPED - M	69	76	91
I.S. 143 - M	M143	7	6	M143			0	I.S. 143 - M	446	651	69
P.S. 152 - M	M152	3	6	M152	70		3	P.S. 152 - M	651	797	82
P.S. 153 - M	M153	4	6	M153	31		4	P.S. 153 - M	876	986	89
P.S. 173 - M	M173	6	6	M173	72		3	P.S. 173 - M	695	828	84
P.S. 178 - M	M178	1	6	M178	0		2	P.S. 178 - M	244	296	82
P.S./I.S. 187 - M	M187	1	6	M187	0		4	P.S. 187 - M	778	581	134
P.S. 189 - M	M189	4	6	M189	18		4	P.S. 189 - M	1123	1201	94
P.S. 192 - M	M192	3	6	M192	36		3	P.S. 192 - M	353	451	78
P.S. 192 MINISCHOOL - M	M848		6	M192				P.S. 192 - M	0	112	0
P.S./I.S. 210 - M	M093	3	6	M210	18		3	P.S. 210 - M	468	400	117
I.S. 218 - M	M218	7	6	M218			0	I.S. 218 - M	255	414	62
P.S. 380- M	M380		6	M226				M226 SPED - M	55	66	83
P.S./IS 278 - M	M918	0	6	M278	0		3	P.S./I.S. 278 - M	532	380	140
I.S. 218 - M	M218	3	6	M293			0	I.S. 293 - M	593	601	99
P.S./I.S. 176 - M	M176	1	6	M311	0		3	P.S. 311 - M	432	339	127
P.S./I.S. 176 - M	M176	0	6	M314	0		3	P.S. 314 - M	258	155	166
I.S. 90 - M	M090	3	6	M319			0	I.S. 319 - M	637	921	69
I.S. 218 - M	M218	4	6	M322			0	I.S. 322 - M	380	519	73
I.S. 90 - M	M090	4	6	M324			0	I.S. 324 - M	450	679	66
P.S. 192 - M	M192	4	6	M325	0		3	P.S. 325 - M	202	424	48
P.S. 192 MINISCHOOL - M	M848		6	M325				P.S. 325 - M	81	93	87
I.S. 164 - M	M164	1	6	M326			0	I.S. 326 - M	283	438	65
I.S. 164 - M	M164	1	6	M328			0	I.S. 328 - M	292	511	57
THE COMMUNITY HEALTH ACADEMY OF THE HEIGHTS - M	M814	7	6	M346			0	I.S. 346 - M	600	582	103
I.S. 143 - M	M143	1	6	M348			0	I.S. 348 - M	650	967	67
P.S. 173 - M	M173	0	6	M349			0	I.S. 349 - M	161	198	81
P.S./I.S. 263 - M	M263	4	6	M366	72		3	P.S. 366 - M	425	480	89
P.S. 153 - M	M153	2	6	M368	0		2	P.S. 368 - M	246	164	150
I.S. 52 - M	M052	4	6	M423			0	HIGH SCHOOL FOR EXCELLENCE AND INNOVATION - M	223	335	67
I.S. 349 - M	M965		6	M430				THE EQUITY PROJECT CHARTER SCHOOL - M	487		
G. WASHINGTON HS EDUC. CAMPUS - M	M465	2	6	M462			0	HS FOR INTL BUSINESS & FINANCE - M	543	552	98
G. WASHINGTON HS EDUC. CAMPUS - M	M465	2	6	M463			0	HS FOR MEDIA & COMM - M	523	547	96
G. WASHINGTON HS EDUC. CAMPUS - M	M465	6	6	M467			0	HS FOR LAW AND PUBLIC SERVICE - M	679	547	124
G. WASHINGTON HS EDUC. CAMPUS - M	M465	6	6	M468			0	HS FOR HEALTH CAREER & SCIENCE - M	624	671	93
P.S. 178 MINISCHOOL- M	M847	0	6	M478	0		2	INWOOD ACADEMY CHARTER SCHOOL - M	221	190	116
P.S. 128 - M	M128	0	6	M513	0		1	P.S. 513 - M	119	168	71
I.S. 528 - M	M528	2	6	M528			0	I.S. 528 - M	226	231	98
A. PHILLIP RANDOLPH HS - M	M540	14	6	M540			0	A. PHILIP RANDOLPH HS -MANHATTAN	1360	1432	95
GREGORIO LUPERON PREP. SCHOOL - M	M876	7	6	M552			0	GREGORIO LUPERON PREP. SCHOOL - M	491	463	106
HS FOR MATH, SCI & ENGINEERING-M	M812	1	6	M692			0	HS FOR MATH, SCI AND ENGINEERING-M	456	451	101
P.S. 115 - M	M115		6	M726				KIPP-STAR CHARTER SCHOOL - M	310	166	187
I.S. 143 MINISCHOOL - M	M859	0	6	M971			0	ALTERNATIVE LEARNING CENTER - M	0	210	0
P.S. 128 MINISCHOOL - M	M828	3	6	M998			0	ALTERNATIVE LEARNING CENTER - M	0	107	0
P.S. 8 - M	M008		6	MCBO				CHILDRENS AID SOCIETY - M			
I.S. 52 - M	M052		6	MCBO				COLUMBIA SCH PUB. HLTH - M			
I.S. 90 - M	M090		6	MCBO				CHILDRENS AID - M			
P.S. 152 - M	M152		6	MCBO				CHILDRENS AID - M			
I.S. 164 - M	M164		6	MCBO				BEACON, PROGRESSIVE DOMINICAN - M			
P.S. 192 - M	M192		6	MCBO				ASPIRA - M			
I.S. 218 - M	M218		6	MCBO				CHILDREN'S AID SOCIETY - M			
P.S./I.S. 263 - M	M263		6	MCBO				INWOOD COMMUNITY SERVICES - M			
A. PHILLIP RANDOLPH HS - M	M540		6	MCBO				SOUND BUSINESS INST. - M			
THE COMMUNITY HEALTH ACADEMY OF THE HEIGHTS - M	M814		6	MCBO				COMMUNITY BASED ORGANIZATION - M			
P.S. 8 - M	M008		6	MDRG				SAPIS - M			
P.S. 153 - M	M153		6	MDRG				SAPIS - M			
THE COMMUNITY HEALTH ACADEMY OF THE HEIGHTS - M	M814		6	MOTH				OTHER - M			
I.S. 143 - M	M143		6	MSBH				COLUMB PRESBYTERIAN - M			
P.S. 152 - M	M152		6	MSBH				COLUM PRES/HEALTHY SCHOOLS - M			
I.S. 164 - M	M164		6	MSBH				COLUMBIA PRESBYTER - M			
P.S. 173 - M	M173		6	MSBH				COLUMBIA PRESBYTERIAN - M			
P.S. 192 - M	M192		6	MSBH				HERITAGE HEALTH CARE - M			
G. WASHINGTON HS EDUC. CAMPUS - M	M465		6	MSBH				COLUMBIA PRESBYTERIAN CLINIC - M			
A. PHILLIP RANDOLPH HS - M	M540		6	MSBH				ST. LUKE - M			
P.S. 153 - M	M153		6	MSST				SCHOOL SAFETY - M			
P.S. 153 - M	M153		6	MUFT				UFT - M			
G. WASHINGTON HS EDUC. CAMPUS - M	M465		6	MUFT				UFT USE - M			
OFFSITE ED. SERV. (0LD 124) - X	X897	1	7	M973			0	RE- START PROGRAM - M	56	103	54
P.S. 1 - X	X001	2	7	X001	18		3	P.S. 1 - X	685	757	90
P.S. 5 - X	X005	6	7	X005	36		3	P.S. 5 - X	701	792	89
I.S. 162 - X	X162		7	X010				X010 SPED - X	46	69	67
P.S. 43 - X	X043		7	X017				X017 SPED - X	114	105	109
P.S. 156 - X	X156		7	X017				X017 SPED - X	28	23	122
P.S. 161 - X	X161		7	X017	0		0	X017 SPED - X	131	111	118
I.S. 184 - X	X184		7	X017		*		X017 SPED - X	129	164	79
P.S. 18 - X	X018	0	7	X018	36		3	P.S. 18 - X	544	567	96
P.S. 25 - X	X025	4	7	X025	31		3	P.S. 25 - X	470	582	81
P.S. 29 - X	X029	5	7	X029	36		3	P.S. 29 - X	738	821	90
P.S. 30 - X	X030	4	7	X030	36		3	P.S. 30 - X	565	720	78
I.S. 151 - X	X151	1	7	X031	17		3	P.S. 31 - X	681	763	89
P.S. 43 - X	X043	3	7	X043	68		3	P.S. 43 - X	536	538	100
P.S. 49 - X	X049	3	7	X049	36		3	P.S. 49 - X	668	737	91
P.S. 65 - X	X065	3	7	X065	35		3	P.S. 65 - X	450	395	114
I.S. 151 - X	X151	6	7	X151			0	I.S. 151 - X	275	387	71
P.S. 154 - X	X154	3	7	X154	36		3	P.S. 154 - X	449	561	80
P.S. 157 - X	X157	6	7	X157	53		3	P.S. 157- X	664	814	82
P.S. 161 - X	X161	6	7	X161	36		3	P.S. 161 - X	526	756	70
I.S. 162 - X	X162	5	7	X162			0	I.S. 162 - X	395	442	89
J.H.S. 203 - X	X183		7	X168	0	*	0	X168 SPED - X	212	182	116
P.S. 220 - X	X040	0	7	X179	36		3	P.S. 179 - X	384	404	95
MOTT HAVEN EDUCATIONAL CAMPUS - X	X790		7	X188		*		X188 SPED - X	99	96	103
J.H.S. 203 - X	X183	4	7	X203			0	J.H.S. 203 - X	174	253	69
SAMUEL GOMPERS VOC HS - X	X655	3	7	X208			0	NEW VISIONS CHARTER HS FOR THE HUMANITIES, II	221	476	46
J.H.S. 149 - X	X149	3	7	X221			0	I.S. 221 - X	644	755	85
J.H.S. 149 - X	X149	5	7	X223			0	I.S. 223 - X	451	523	86
J.H.S. 222 - X	X139	3	7	X224			0	I.S. 224 - X	327	462	71
SAMUEL GOMPERS VOC HS - X	X655	2	7	X259			0	HERO HIGH (HEALTH, EDUCATION, AND RESEARCH OCCUPATIONS HS)	126	166	76
P.S. 277 - X	X027	4	7	X277	33		3	P.S. 277 - X	435	851	51
I.S. 184 - X	X184	1	7	X296			0	I.S. 296 - X	377	500	75
I.S. 184 - X	X184	2	7	X298			0	I.S. 298 - X	363	387	94
P.S. 49 - X	X049	0	7	X309	0		3	SOUTH BX CHARTER FOR INTL ARTS - X	202	133	152
P.S. 30 ANNEX - X	X855		7	X309				SOUTH BX CHARTER FOR INTL ARTS - X	187	80	234
CROTONA ACADEMY - X	X963		7	X321				CROTONA ACADEMY - X	105		
J.H.S. 222 - X	X139	0	7	X334			0	INTERNATIONAL COMMUNITY HS - X	437	516	85
J.H.S. 222 - X	X139	1	7	X343			0	I.S. 343 - X	296	390	76
P.S. 220 - X	X040		7	X352				X352 SPED - X	23	13	177
P.S. 156 - X	X156	2	7	X359	36		2	CONCOURSE VILLAGE ELEMENTARY SCHOOL	234	226	104
P.S. 154 - X	X154	2	7	X364	0		1	SOUTH BRONX CLASSICAL CHARTER SCHOOL II	102	175	58
P.S. 220 - X	X040	2	7	X369	36		3	YOUNG LEADERS ELEM - X	314	316	99
I.S. 184 - X	X184	3	7	X379			0	JILL CHAIFETZ TRANSFER HIGH SCHOOL - X	184	326	56
ALFRED E. SMITH HS - X	X600	1	7	X381			0	BRONX HAVEN HIGH SCHOOL - X	172	281	61
P.S. 156 - X	X156	2	7	X385	0		2	PERFORMANCE SCHOOL - X	231	274	84
P.S. 156 - X	X156	5	7	X389	0		3	BX GLOBAL LEARNING INST CHARTER	347	299	116
I.S. 162 - X	X162	0	7	X393			0	GREENDOT NY CHARTER SCHOOL	354	586	60
HEALTH OPPORTUNITIES HS - X	X884	3	7	X427			0	COMM HS FOR SOCIAL JUSTICE - X	335	402	83
SOUTH BRONX HS (OLD 38) - X**	X470	1	7	X473			0	MOTT HAVEN VILLAGE PREP - X	344	398	86
P.S. 65 - X	X065	1	7	X491	0		3	ACADEMIC LEADERSHIP CHARTER SCHOOL	347	238	146
J.H.S. 203 - X	X183	2	7	X493	0		3	BRONX SUCCESS ACADEMY CHARTER SCHL I - X	465	395	118
SOUTH BRONX HS (OLD 38) - X**	X470	6	7	X495			0	UNIVERSITY HEIGHTS HS - X	466	527	88
SOUTH BRONX HS TRANSPORTABLE - X	X920		7	X495				UNIVERSITY HEIGHTS HS - X	0		
I.S. 162 - X	X162	4	7	X500			0	HOSTOS LINCOLN ACAD OF SCI HS - X	537	584	92
P.S. 754 (OLD IS155) - X	X155	1	7	X520			0	FLAGS ACADEMY - X	189	584	32
ALFRED E. SMITH HS - X	X600	19	7	X522			0	BRONX DESIGN AND CONSTRUCTION ACADEMY - X	429	714	60
MOTT HAVEN EDUCATIONAL CAMPUS - X	X790	6	7	X527			0	BRONX LEADERSHIP ACADEMY II HS - X	515	421	122
MOTT HAVEN EDUCATIONAL CAMPUS - X	X790	8	7	X547			0	NEW EXPLORERS HIGH SCHOOL - X	463	493	94
MOTT HAVEN EDUCATIONAL CAMPUS - X	X790	5	7	X548			0	URBAN ASSEMBLY SCHOOL - X	575	555	104
J.H.S. 203 - X	X183	9	7	X551			0	BRONX HS OF LETTERS - X	584	661	88
SAMUEL GOMPERS VOC HS - X	X655	1	7	X557			0	H.S. 557 - X	202	221	91
ALFRED E. SMITH HS - X	X600	17	7	X600			0	ALFRED E. SMITH HS - X	390	544	72
SAMUEL GOMPERS VOC HS - X	X655	13	7	X655			0	SAMUEL GOMPERS VOC HS - X	229	420	55
HEALTH OPPORTUNITIES HS - X	X884	5	7	X670			0	HEALTH OPPORTUNITIES (HS LVL) - X	577	666	87
PASSAGES ACADEMY(HORIZON) - X	X991		7	X695				PASSAGES ACADEMY(HORIZON) - X			
I.S. 151 - X	X151		7	X704				KIPP CHARTER SCHOOL - X	312	291	107
MOTT HAVEN EDUCATIONAL CAMPUS - X	X790	4	7	X704	0		4	KIPP CHARTER SCHOOL - X	694	505	137
