peer_index	_2009_2010_additional_credit	_2008_09_progress_report_grade	_2009_2010_performance_category_score	_2009_2010_performance_grade	principal	dbn	_2009_2010_progress_category_score	school	_2009_2010_overall_grade	district	progress_report_type	school_level	_2009_2010_environment_grade	_2009_2010_overall_score	_2009_2010_environment_category_score	_2009_2010_progress_grade
63.09	0.5	A	3.8	D	Noel Rios	04M096	18.9	P.S. 096 Joseph Lanzetta	C	4	EMS	K-8	D	26.4	3.2	C
""					Cynthia Rochez	04M101		P.S. 101 Andrew Draper		4	EMS	Middle				
74.03	8.8	B	10.9	B	Sandra Gittens	04M102	45.2	P.S. 102 Jacques Cartier	A	4	EMS	Elementary	A	74.0	9.1	A
61.42	3.5	A	10.9	B	Lourdes Arroyo	04M108	20.2	P.S. 108 Assemblyman Angelo Del Toro Educational Complex	B	4	EMS	K-8	A	46.4	11.8	C
64.23	8.3		8.6	B	Eileen Reiter	04M112	13.2	P.S. 112 Jose Celso Barbosa	B	4	EC	K-2	A	40.1	10.0	A
""					Ralph Martinez	04M117		Tito Puente Education Complex		4	EMS	Middle				
73.23	0.0	A	0.0	F	Mona Silfen	04M146	13.9	P.S. 146 Ann M. Short	C	4	EMS	Elementary	C	19.8	5.9	D
69.02	2.3	A	5.0	D	Lillian Raimundi Ortiz	04M155	24.8	P.S. 155 William Paca	B	4	EMS	Elementary	A	40.9	8.8	B
57.40	6.0	A	14.2	A	Dimitres Pantelidis	04M171	35.7	P.S. 171 Patrick Henry	A	4	EMS	K-8	A	64.8	8.9	A
63.96	5.3	A	17.1	A	Andrea Hernandez	04M182	47.9	The Bilingual Bicultural School	A	4	EMS	Elementary	A	79.7	9.4	A
64.11	0.5	A	6.9	C	Myrna Rodriguez	04M206	19.0	P.S. 206 Jose Celso Barbosa	C	4	EMS	Elementary	B	34.4	8.0	C
3.43	2.3	B	7.9	C	Liliana Sarro	04M224	22.5	M.S. 224 Manhattan East School for Arts & Academics	C	4	EMS	Middle	B	40.4	7.7	C
1.99	4.3		5.6	D	Alex Estrella	04M372	40.5	ESPERANZA PREPARATORY ACADEMY	A	4	EMS	Middle	A	62.8	12.4	A
67.68	4.5		1.2	F	Lisette Caesar	04M375	40.6	Mosaic Preparatory Academy	B	4	EMS	Elementary	B	53.6	7.3	A
2.11	5.3		7.9	C	Tammy Pate-Spears	04M377	48.4	Renaissance School of the Arts	A	4	EMS	Middle	B	68.9	7.3	A
2.08	0.8		3.6	F	Luis Genao	04M381	28.2	Global Neighborhood Secondary School	C	4	EMS	Middle	B	40.3	7.7	B
2.23					Chrystina Russell	04M406		GLOBAL TECHNOLOGY PREPARATORY		4	EMS	Middle				
2.20	3.0	C	11.5	D	Eileen Miller Cohen	04M409	31.3	Coalition School for Social Change	C	4	HS	High School	B	55.5	9.7	C
3.10	0.0	B	16.2	B	Jose David Jimenez	04M435	38.3	Manhattan Center for Science and Mathematics	B	4	HS	High School	D	60.9	6.4	B
2.09	7.5	A	18.5	A	Kevin Mccarthy	04M495	46.1	Park East High School	A	4	HS	High School	A	82.6	10.5	A
37.83	0.8	A	1.0	F	Julie Zuckerman	04M497	8.2	Central Park East I	C	4	EMS	Elementary	A	21.7	11.7	F
2.53	1.5	A	10.9	D	Bennett Lieberman	04M555	47.0	Central Park East High School	A	4	HS	High School	A	72.3	12.9	A
3.05	0.0	A	20.2	A	Althea Bradshaw-Tyson	04M610	37.7	Young Women's Leadership School	A	4	HS	High School	A	70.4	12.5	B
3.37	0.0	B	3.7	D	Althea Bradshaw-Tyson	04M610	8.7	Young Women's Leadership School	C	4	EMS	Middle	A	24.6	12.2	F
2.06	0.0	D	6.7	F	Irma Garceau	04M635	20.0	Academy of Environmental Science Secondary High School	F	4	HS	High School	D	32.7	6.0	F
""					Irma Garceau	04M635		Academy of Environmental Science Secondary High School		4	EMS	Middle				
2.13	1.5	A	15.0	B	Luis Alberto Duany	04M680	29.9	Heritage School, The	C	4	HS	High School	F	50.7	4.3	C
""					Flora Greenaway	04M695		Urban Peace Academy		4	HS	High School				
2.84	0.0	A	5.9	D	Lisa Nelson	04M825	8.7	Isaac Newton Middle School for Math & Science	C	4	EMS	Middle	B	22.9	8.3	F
49.09	2.3	A	3.3	D	Naomi Smith	04M964	24.4	Central Park East II	B	4	EMS	Elementary	A	40.7	10.7	B
66.85	3.8	A	6.7	C	Karen Melendez Hutt	05M030	43.1	P.S. 030 Hernandez/Hughes	A	5	EMS	Elementary	A	62.3	8.7	A
57.64	6.0		5.0	D	Cynthia Mullins-Simmons	05M036	8.7	P.S. 036 Margaret Douglas	B	5	EC	K-3	B	26.9	7.2	B
62.45	0.8	A	5.8	C	George Young	05M046	19.1	P.S. 046 Arthur Tappan	C	5	EMS	Elementary	B	32.3	6.6	C
62.65	5.0	B	5.1	D	Rosa Davila	05M092	20.6	P.S. 092 Mary McLeod Bethune	B	5	EMS	Elementary	A	42.1	11.4	C
60.69	2.0	A	3.5	D	Beverly Lewis	05M123	11.9	P.S. 123 Mahalia Jackson	C	5	EMS	K-8	B	25.8	8.4	D
60.88	3.0	A	0.9	F	Rafaela Espinal Pacheco	05M125	33.0	P.S. 125 Ralph Bunche	B	5	EMS	Elementary	C	42.6	5.7	B
59.58	6.8	A	6.0	D	Odelphia Pierre	05M129	29.1	P.S. 129 John H. Finley	B	5	EMS	K-8	B	50.0	8.1	B
62.49	1.5	A	1.0	F	Susan M. Vairo	05M133	27.8	P.S. 133 Fred R Moore	C	5	EMS	Elementary	D	33.2	2.9	B
65.00	0.0	A	4.7	D	Elizabeth Jarrett	05M154	23.1	P.S. 154 Harriet Tubman	C	5	EMS	Elementary	B	35.1	7.3	C
66.35	4.3	A	8.6	C	Barbara Freeman	05M161	28.4	P.S. 161 Pedro Albizu Campos	B	5	EMS	K-8	A	51.9	10.6	B
59.22	3.0	C	6.7	C	Cheryl Mcclendon	05M175	36.4	P.S. 175 Henry H Garnet	B	5	EMS	Elementary	B	52.9	6.8	A
65.87	2.0	A	0.0	F	Charyn Koppelson Cleary	05M194	29.5	P.S. 194 Countee Cullen	C	5	EMS	Elementary	D	35.4	3.9	B
2.35	0.5	B	3.7	D	Rosarie Jean	05M195	14.0	I.S. 195 Roberto Clemente	D	5	EMS	Middle	D	22.0	3.8	D
58.68	5.8	A	8.2	C	Renardo Wright	05M197	33.1	P.S. 197 John B. Russwurm	B	5	EMS	Elementary	A	56.6	9.5	B
59.82	6.0	A	2.2	D	Renee Y. Belton	05M200	32.3	P.S. 200- The James Mccune Smith School	B	5	EMS	Elementary	D	43.5	3.0	B
2.15	1.5	D	9.4	F	Mary Rice	05M285	30.9	Harlem Renaissance High School	C	5	HST	High School Transfer	C	49.9	8.1	C
2.53	0.0	A	5.8	D	Qadir Ben Dixon	05M286	17.6	I.S. M286 Renaissance Military Leadership Academy	C	5	EMS	Middle	A	33.4	10.0	D
2.76	2.0	A	8.6	C	Briony Carr	05M302	33.7	KAPPA IV	B	5	EMS	Middle	A	53.6	9.3	B
2.53	0.0	C	19.2	A	Blaine Walton	05M304	37.1	Mott Hall High School	B	5	HS	High School	B	65.5	9.2	B
2.14	0.5	D	4.4	D	Sean Dunning	05M317	18.0	Kappa II	D	5	EMS	Middle	D	25.7	2.8	D
47.59	0.8	B	1.8	D	Sean Davenport	05M318	20.4	Thurgood Marshall Academy Lower School	C	5	EMS	Elementary	A	32.0	9.0	C
2.25	0.8	D	1.4	F	Rashaunda Shaw	05M344	8.7	Academy of Collaborative Education	F	5	EMS	Middle	D	13.7	2.8	F
3.84	0.0	A	13.4	B	Jose Maldonado-Rivera	05M362	3.3	Columbia Secondary School	C	5	EMS	Middle	C	22.9	6.2	F
2.36					Crystal Simmons	05M367		Academy for Social Action: A College Board School		5	HS	High School				
2.46	0.0	C	6.2	D	Crystal Simmons	05M367	28.8	Academy for Social Action: A College Board School	B	5	EMS	Middle	B	43.0	8.0	B
2.46	4.5		15.6	B	Fia Davis	05M369	46.1	Urban Assembly School for the Performing Arts	A	5	HS	High School	F	70.9	4.7	A
2.34					Travis Brown	05M410		THE URBAN ASSEMBLY INSTITUTE FOR NEW TECHNOLOGIES		5	EMS	Middle				
2.43	0.0	D	12.9	C	Dr. A. Ellen Parris	05M469	42.1	Choir Academy of Harlem	B	5	HS	High School	C	62.5	7.5	A
2.40	0.8	A	4.0	D	Dr. A. Ellen Parris	05M469	21.4	Choir Academy of Harlem	C	5	EMS	Middle	C	31.6	5.4	C
3.14	4.5	C	11.5	D	Gregory Hodge	05M499	20.9	Frederick Douglass Academy	D	5	HS	High School	F	40.6	3.7	F
3.02	3.0	A	8.3	C	Gregory Hodge	05M499	26.0	Frederick Douglass Academy	C	5	EMS	Middle	F	39.6	2.3	B
2.66	3.0	B	12.0	C	Sandye Johnson	05M670	39.1	Thurgood Marshall Academy for Learning and Social Change	B	5	HS	High School	B	63.1	9.0	B
2.90	0.5	B	6.4	D	Sandye Johnson	05M670	7.9	Thurgood Marshall Academy for Learning and Social Change	D	5	EMS	Middle	A	24.1	9.3	F
2.03	0.0	C	11.2	D	Larry Wilson	05M685	25.7	Bread & Roses Integrated Arts High School	D	5	HS	High School	D	43.0	6.1	D
3.76	0.0	A	22.7	A	William Dugan	05M692	44.5	High School for Mathematics, Science and Engineering at City College	A	5	HS	High School	B	76.2	9.0	A
65.56	3.8	A	4.2	D	Delois White	06M004	34.2	P.S. 004 Duke Ellington	B	6	EMS	Elementary	B	50.7	8.5	B
66.31	3.0	A	7.1	C	Wanda Soto	06M005	35.8	P.S. 005 Ellen Lurie	B	6	EMS	Elementary	B	54.5	8.6	A
68.56	4.3	A	5.1	D	Rafaela Landin	06M008	39.9	P.S. 008 Luis Belliard	A	6	EMS	Elementary	A	60.8	11.5	A
63.40	4.5	A	6.4	C	Aurea Porrata-Doria	06M018	30.5	P.S. 018 Park Terrace	B	6	EMS	K-8	A	54.1	12.7	B
64.93	3.8	A	7.2	C	Elsa Nunez	06M028	37.6	P.S. 028 Wright Brothers	A	6	EMS	Elementary	A	58.6	10.0	A
67.12	2.3	A	6.7	C	Tracy Walsh	06M048	28.3	P.S. 048 P.O. Michael J. Buczek	B	6	EMS	Elementary	A	46.4	9.1	B
2.59	4.0	A	7.4	C	Salvador Fernandez	06M052	40.9	J.H.S. 052 Inwood	A	6	EMS	Middle	A	63.0	10.7	A
68.39	3.8	A	4.8	D	Maritza Rodriguez	06M098	34.8	P.S. 098 Shorac Kappock	B	6	EMS	Elementary	C	48.2	4.8	B
67.01	0.0	A	1.6	D	Angela Rodriguez	06M115	0.0	P.S. 115 Alexander Humboldt	C	6	EMS	Elementary	B	9.3	7.7	F
66.00	4.8	A	5.0	D	Rosa Argelia Arredondo	06M128	30.3	P.S. 128 Audubon	B	6	EMS	Elementary	A	48.8	8.7	B
68.59	4.0	A	4.4	D	Xiomara Nova	06M132	29.7	P.S. 132 Juan Pablo Duarte	B	6	EMS	Elementary	B	45.3	7.2	B
2.34	0.0	A	5.6	D	Ourania Pappas	06M143	30.7	J.H.S. 143 Eleanor Roosevelt	B	6	EMS	Middle	B	45.0	8.7	B
64.22	0.8	A	6.0	C	Julia Pietri	06M152	30.6	P.S. 152 Dyckman Valley	B	6	EMS	Elementary	D	41.4	4.0	B
63.46	9.0	A	11.9	B	Karen Bailey	06M153	47.7	P.S. 153 Adam Clayton Powell	A	6	EMS	Elementary	A	79.0	10.4	A
58.51	5.0	A	5.8	C	Dawn Boursiquot	06M173	41.2	P.S. 173	B	6	EMS	Elementary	D	55.8	3.8	A
51.95	0.8		7.5	B	Deirdre Budd	06M178	9.4	Professor Juan Bosch Public School	B	6	EC	K-2	A	30.0	12.3	B
42.09	4.5	A	9.6	C	Ms. Cynthia Chory	06M187	34.4	P.S./I.S. 187 Hudson Cliffs	A	6	EMS	K-8	A	57.5	9.0	A
66.66	4.5	A	6.6	C	Theresa Luger	06M189	41.0	P.S. 189	A	6	EMS	Elementary	A	62.2	10.1	A
65.84	0.8	A	3.6	D	Deborah Schaefer	06M192	26.0	P.S. 192 Jacob H. Schiff	C	6	EMS	Elementary	B	38.6	8.2	B
66.04	0.8	A	9.9	C	Evelyn Linares	06M210	24.1	P.S./I.S. 210 - Twenty-first Century Academy for Community Leadership	B	6	EMS	K-8	A	47.4	12.6	C
2.38	3.8	A	5.2	D	June Barnett	06M218	37.2	I.S. 218 Salome Urena	B	6	EMS	Middle	C	51.7	5.5	A
3.68	1.5	A	16.3	A	Cynthia Arndt	06M223	46.5	The Mott Hall School	A	6	EMS	Middle	B	72.5	8.2	A
55.54	1.5	A	7.3	C	Maureen Guido	06M278	30.4	Paula Hedbavny School	B	6	EMS	K-8	A	50.0	10.8	B
2.91					Bernadette Drysdale	06M293		City College Academy of the Arts		6	HS	High School				
2.68	4.3	A	13.9	B	Bernadette Drysdale	06M293	45.9	City College Academy of the Arts	A	6	EMS	Middle	A	75.6	11.5	A
51.76	9.5	A	12.4	B	Miriam Pedraja	06M311	44.6	Amistad Dual Language School	A	6	EMS	K-8	A	78.5	12.0	A
43.41	3.0	A	0.0	F	Tomasz Grabski	06M314	46.4	Muscota	B	6	EMS	Elementary	F	50.8	1.4	A
2.49	7.0	A	8.3	C	Ysidro Abreu	06M319	43.3	M.S. 319 - Maria Teresa	A	6	EMS	Middle	A	71.7	13.1	A
""					Pamela Russell-Glover	06M321		M.S. 321 - Minerva		6	EMS	Middle				
2.58	2.3	A	6.5	C	Erica Zigelman	06M322	34.9	Middle School 322	B	6	EMS	Middle	B	51.8	8.1	B
2.46	7.5	A	10.5	C	Janet Heller	06M324	37.5	M.S. 324 - Patria Mirabal	A	6	EMS	Middle	A	69.2	13.7	A
66.89	0.0	A	3.0	D	Gary H. Cruz	06M325	3.5	P.S. 325	C	6	EMS	Elementary	B	15.1	8.6	F
2.24	6.8	A	7.3	C	Sharon Weissbrot	06M326	39.2	M.S. 326 - Writers Today & Leaders Tomorrow	A	6	EMS	Middle	A	63.8	10.5	A
2.25	3.3	A	6.3	D	Jorge Estrella	06M328	36.7	M.S. 328 - Manhattan Middle School for Scientific Inquiry	B	6	EMS	Middle	B	55.2	8.9	B
2.29					Sandra Maldonado	06M346		Community Health Academy of the Heights		6	HS	High School				
2.36	0.8	A	4.4	D	Sandra Maldonado	06M346	19.9	Community Health Academy of the Heights	C	6	EMS	Middle	C	31.1	6.0	C
2.46					Brett Kimmel	06M348		Washington Heights Expeditionary Learning School		6	HS	High School				
2.47	1.3	A	10.5	C	Brett Kimmel	06M348	31.4	Washington Heights Expeditionary Learning School	B	6	EMS	Middle	A	54.5	11.3	B
2.09	6.0	A	4.0	D	Monica Klehr	06M349	57.2	Harbor Heights	A	6	EMS	Middle	A	80.5	13.3	A
45.09	1.5	F	8.4	C	Crystal M. Felix	06M366	25.4	Washington Heights Academy	B	6	EMS	Elementary	B	42.9	7.6	B
50.14	0.0	A	0.8	F	Alva Buxenbaum	06M368	22.2	Hamilton Heights School	C	6	EMS	Elementary	B	31.1	8.1	C
1.82					Tyona Washington	06M423		High School for Excellence and Innovation		6	HST	High School Transfer				
""	9.0		20.6	A	Samuel Akel	06M457	55.0	George Washington YABC	A	6	YABC	YABC	A	98.0	13.4	A
2.17	7.5	A	20.5	A	Juan Alvarez	06M462	47.9	High School for International Business and Finance	A	6	HS	High School	A	87.6	11.7	A
2.26	0.0	B	15.0	B	Ronni Michelen	06M463	39.1	High School for Media and Communications	B	6	HS	High School	C	62.6	8.5	B
2.22	1.5	A	19.8	A	Nicholas Politis	06M467	44.5	High School for Law and Public Service	A	6	HS	High School	A	76.9	11.1	A
2.28	3.0	A	14.5	B	Harris Marmor	06M468	40.0	High School for Health Careers and Sciences	B	6	HS	High School	B	66.3	8.8	B
2.75	0.5	A	4.1	D	Norma Perez	06M528	13.5	I.S. 528 Bea Fuller Rodgers School	C	6	EMS	Middle	B	26.7	8.6	D
2.89	0.0	B	10.6	D	Henry Rubio	06M540	34.2	A. Philip Randolph Campus High School	C	6	HS	High School	D	51.3	6.5	C
2.29	4.5	A	21.6	A	Juan Villar	06M552	32.6	Gregorio Luperon High School for Science and Mathematics	A	6	HS	High School	A	73.3	14.6	C
56.82	0.8	A	0.8	F	Jorge Perdomo	07X001	13.8	P.S. 001 Courtlandt School	C	7	EMS	Elementary	B	21.8	6.4	D
67.46	2.3	A	6.7	C	Mary Padilla	07X005	20.9	P.S. 005 Port Morris	C	7	EMS	Elementary	A	39.3	9.4	C
63.58	0.0	A	2.5	D	Jasmin Varela	07X018	21.6	P.S. 018 John Peter Zenger	C	7	EMS	Elementary	F	26.0	1.9	C
69.42	8.3	A	13.4	B	Carmen Toledo	07X025	60.0	P.S. 025 Bilingual School	A	7	EMS	Elementary	A	90.6	8.9	A
61.97	1.3	B	5.0	D	Meredith Gotlin	07X029	27.8	P.S./M.S. 029 Melrose School	C	7	EMS	K-8	C	38.7	4.6	B
67.16	5.0	A	2.1	D	Roxanne Marks	07X030	42.3	P.S. 030 Wilton	A	7	EMS	Elementary	A	58.7	9.3	A
64.59	1.5	A	6.0	D	Liza Diaz	07X031	24.0	P.S./M.S. 031 The William Lloyd Garrison	C	7	EMS	K-8	B	37.6	6.1	C
64.30	4.5	A	8.8	C	Giovanna Delucchi	07X043	42.3	P.S. 043 Jonas Bronck	A	7	EMS	Elementary	A	64.4	8.8	A
67.56	2.5	A	6.5	C	Laura Galloway	07X049	24.1	P.S. 049 Willis Avenue	C	7	EMS	Elementary	B	39.5	6.4	C
67.83	1.5	B	2.0	D	Tashon Mckeithan	07X065	33.5	P.S. 065 Mother Hale Academy	C	7	EMS	Elementary	F	39.7	2.7	B
2.17	8.5	A	6.2	D	Edna Cid	07X151	40.6	J.H.S. 151 Lou Gehrig	A	7	EMS	Middle	B	63.5	8.2	A
68.00	2.5	A	4.7	D	Marsha Elliott	07X154	21.5	P.S. 154 Jonathan D. Hyatt	C	7	EMS	Elementary	C	33.9	5.2	C
61.88	4.8	A	8.0	C	Ramona Duran	07X157	37.8	P.S. 157 Grove Hill	B	7	EMS	Elementary	C	56.0	5.4	A
68.55	0.5	A	4.0	D	Mark Weisman	07X161	29.6	P.S. 161 Ponce De Leon	C	7	EMS	Elementary	B	40.5	6.4	B
2.38	5.3	A	6.4	D	Maryann Manzolillo	07X162	34.5	J.H.S. 162 Lola Rodriguez De Tio	B	7	EMS	Middle	D	49.8	3.6	B
66.03	0.0	A	3.3	D	Sherry Font Williams	07X179	11.7	P.S. 179	C	7	EMS	Elementary	A	23.8	8.8	D
2.09	2.3	A	3.4	F	William Hewlett Jr	07X203	25.1	M.S. 203	C	7	EMS	Middle	B	38.0	7.2	C
2.44	6.0	A	21.9	A	Ellen Reddon Flanagan	07X221	52.6	South Bronx Preparatory: A College Board School	A	7	HS	High School	B	89.7	9.2	A
2.46	0.8	A	5.3	D	Ellen Reddon Flanagan	07X221	16.4	South Bronx Preparatory: A College Board School	C	7	EMS	Middle	C	28.6	6.1	D
2.81	9.8	A	11.5	B	Ramon Gonzalez	07X223	47.7	M.S. 223 The Laboratory School of Finance and Technology	A	7	EMS	Middle	A	78.8	9.8	A
2.26	5.3	A	5.6	D	Charles Johnson	07X224	42.3	P.S. / I.S. 224	B	7	EMS	Middle	B	61.6	8.4	A
64.94	0.0	A	0.0	F	Cheryl Tyler	07X277	14.9	P.S. 277	C	7	EMS	Elementary	B	23.2	8.3	D
1.91	8.8	A	5.9	D	Roshone Ault	07X296	44.6	South Bronx Academy for Applied Media	A	7	EMS	Middle	A	68.8	9.5	A
2.03	6.0	A	5.8	D	Amy Andino	07X298	45.7	Academy of Public Relations	A	7	EMS	Middle	B	65.7	8.2	A
2.20	0.0	B	8.3	F	Anthony W. Harris	07X321	26.9	Crotona Academy High School	D	7	HST	High School Transfer	C	42.7	7.5	D
1.66	0.0		11.5	D	Berena Cabarcas	07X334	41.1	International Community High School	B	7	HS	High School	A	64.1	11.5	B
2.37	5.8	A	8.3	C	Vincent Gassetto	07X343	37.6	Academy of Applied Mathematics and Technology	A	7	EMS	Middle	A	62.9	11.2	A
65.47	0.0		0.0	F	Karen Collins	07X369	17.5	Young Leaders Elementary School	D	7	EMS	Elementary	D	20.3	2.8	C
2.23	0.0		19.6	A	Anne Fennelly	07X379	36.0	Jill Chaifetz Transfer High School	B	7	HST	High School Transfer	C	63.6	8.0	B
2.16	0.0		12.8	C	Lucinda Mendez	07X381	30.2	Bronx Haven High School	B	7	HST	High School Transfer	A	56.1	13.1	C
65.96	3.8		0.0	F	Lourdes Estrella	07X385	33.1	Performance School	C	7	EMS	Elementary	F	36.9	0.0	B
2.12	3.0	B	17.3	B	Sue-Ann Rosch	07X427	42.5	Community School for Social Justice	A	7	HS	High School	A	73.3	10.5	A
2.11	0.0	A	17.3	B	Flavia Puello Perdomo	07X473	40.0	Mott Haven Village Preparatory High School	B	7	HS	High School	A	67.8	10.5	B
2.74	6.0	A	16.1	B	Hazel Joseph Roseboro	07X495	47.5	University Heights Secondary School at Bronx Community College	A	7	HS	High School	B	79.3	9.7	A
2.86	6.0	B	22.1	A	Nicholas Paarlberg	07X500	30.1	Hostos-Lincoln Academy of Science	B	7	HS	High School	C	66.7	8.5	C
2.60	3.8	A	10.9	B	Nicholas Paarlberg	07X500	42.4	Hostos-Lincoln Academy of Science	A	7	EMS	Middle	B	65.6	8.5	A
2.08	0.0	B	14.5	B	Leba Collins Augone	07X520	28.1	Foreign Language Academy of Global Studies	C	7	HS	High School	B	52.8	10.2	D
2.14	1.5	B	15.1	B	Elyse Doti	07X527	35.5	Bronx Leadership Academy II High School	B	7	HS	High School	B	61.8	9.7	B
2.05	0.0	C	8.6	F	Jacob Hobson	07X547	26.3	New Explorers High School	D	7	HS	High School	A	45.6	10.7	D
2.56	9.0	A	20.8	A	Felice Lepore	07X548	50.9	Urban Assembly School for Careers in Sports	A	7	HS	High School	A	92.5	11.8	A
2.34	1.5	A	23.3	A	Anna Hall	07X551	47.3	Bronx Academy of Letters	A	7	HS	High School	A	85.0	12.9	A
2.33	6.0	A	8.8	C	Anna Hall	07X551	31.4	Bronx Academy of Letters	B	7	EMS	Middle	A	56.7	10.5	B
1.95	0.0	C	9.2	F	Rene Cassanova	07X600	31.4	Alfred E. Smith Career and Technical Education High School	C	7	HS	High School	B	49.8	9.2	C
1.70	1.5	D	12.0	C	Joyce Mills Kittrell	07X655	32.1	Samuel Gompers Career and Technical Education High School	C	7	HS	High School	F	50.3	4.7	C
2.40	1.5	C	13.7	C	Carron Staple	07X670	35.0	Health Opportunities High School	B	7	HS	High School	C	58.4	8.2	B
40.81	1.0	A	4.4	D	Jason Kovac	08X014	11.6	P.S. X014 Senator John Calandra	C	8	EMS	Elementary	D	20.2	3.2	D
54.16	1.0	A	10.3	B	Elvira Maresca	08X036	26.9	P.S. 036 Unionport	B	8	EMS	Elementary	A	48.4	10.2	B
64.74	4.5	A	7.8	C	Roxanne Cardona	08X048	37.7	P.S. 048 Joseph R. Drake	B	8	EMS	Elementary	B	56.2	6.2	A
63.59	4.3	A	4.8	D	Lisa Manfredonia	08X062	32.4	P.S. 062 Inocensio Casanova	B	8	EMS	Elementary	B	48.6	7.1	B
60.57	8.8	A	13.9	B	Alan Cohen	08X069	49.1	P.S. 069 The New Vision School	A	8	EMS	Elementary	B	80.4	8.6	A
39.68	3.0	A	7.5	C	Lance Cooper	08X071	25.7	P.S. 071 Rose E. Scala	C	8	EMS	K-8	D	39.2	3.0	B
54.75	2.0	A	3.2	D	Margarita Colon	08X072	14.0	P.S. 072 Dr. William Dorney	C	8	EMS	Elementary	C	25.0	5.8	D
64.36	3.0	A	7.4	C	Marines Arrieta-Cruz	08X075	35.4	P.S. 075	B	8	EMS	Elementary	B	52.2	6.4	A
61.95	4.5	A	7.4	C	Donald Mattson	08X093	35.3	P.S. 093 Albert G. Oliver	B	8	EMS	Elementary	B	54.4	7.2	A
59.77	1.3	B	5.8	C	Chad Adam Altman	08X100	21.0	P.S. 100 Isaac Clason	C	8	EMS	Elementary	B	35.0	6.9	C
3.58	0.0	C	9.9	C	Kim Hampton Hewitt	08X101	24.4	M.S. X101 Edward R. Byrne	C	8	EMS	Middle	B	41.6	7.3	C
62.16	0.0	B	0.4	F	Pamela Lee	08X107	1.5	P.S. 107	D	8	EMS	Elementary	C	6.3	4.4	F
48.51	2.0	A	4.9	D	Lydia Tyner	08X119	24.4	P.S. 119	C	8	EMS	Elementary	D	35.1	3.8	B
2.42	8.0	A	6.6	C	Virginia Connelly	08X123	41.8	J.H.S. 123 James M. Kieran	A	8	EMS	Middle	B	63.2	6.8	A
2.61	4.3	B	7.1	C	Hilda Bairan	08X125	33.5	J.H.S. 125 Henry Hudson	B	8	EMS	Middle	C	50.5	5.6	B
65.21	0.8	B	1.9	D	Lourdes Velazquez	08X130	22.8	P.S. 130 Abram Stevens Hewitt	C	8	EMS	Elementary	B	33.8	8.3	C
2.65	2.8	B	5.8	D	Edward C. Leotta	08X131	26.0	J.H.S. 131 Albert Einstein	C	8	EMS	Middle	C	39.6	5.0	B
58.56	0.8	A	5.7	D	Lorraine Carrol-Dawkins	08X138	9.8	P.S. 138 Samuel Randall	C	8	EMS	Elementary	B	24.2	7.9	F
64.32	2.8	A	5.6	D	Paul Cannon	08X140	10.5	P.S. X140 The Eagle School	C	8	EMS	Elementary	C	24.3	5.4	F
64.01	2.0	A	5.1	D	Janet Sanderson-Brown	08X146	16.2	P.S. 146 Edward Collins	C	8	EMS	Elementary	D	27.4	4.1	D
62.76	9.0	A	8.0	C	Frances Lynch	08X152	37.4	P.S. 152 Evergreen	A	8	EMS	Elementary	B	61.9	7.5	A
54.72	3.3	A	9.2	C	Anne O'grady	08X182	24.3	P.S. 182	B	8	EMS	Elementary	B	45.3	8.5	B
2.59					David Vazquez	08X269		Bronx Studio School for Writers and Artists		8	HS	High School				
2.39	1.0	A	6.7	C	David Vazquez	08X269	14.3	Bronx Studio School for Writers and Artists	C	8	EMS	Middle	C	27.8	5.8	D
2.66	3.0		16.5	B	Arnette Crocker	08X282	28.9	Women's Academy of Excellence	C	8	HS	High School	F	53.4	5.0	C
2.23	13.5	A	18.1	A	Maria N Herrera	08X293	39.8	Renaissance High School for Musical Theater & Technology	A	8	HS	High School	A	82.1	10.7	B
1.85	0.0	C	13.2	C	Clifford Siegel	08X295	37.2	Gateway School for Environmental Research and Technology	B	8	HS	High School	B	60.3	9.9	B
2.25	2.5	B	5.0	D	Benjamin Basile	08X301	25.7	M.S. 301 Paul L. Dunbar	C	8	EMS	Middle	B	40.7	7.5	B
2.23	6.0	A	9.4	C	Angel Rodriguez	08X302	41.9	M.S. 302 Luisa Dessus Cruz	A	8	EMS	Middle	A	67.1	9.8	A
38.77	3.8	A	11.6	B	Joseph Nobile	08X304	31.9	P.S. 304 Early Childhood School	B	8	EMS	Elementary	A	57.0	9.7	B
1.94	3.0	C	15.5	B	Ivan Cohen	08X305	39.5	Pablo Neruda Academy for Architecture and World Studies	B	8	HS	High School	B	66.7	8.7	B
2.12	1.5	A	13.9	C	Maxine Nodel	08X312	45.4	Millennium Art Academy	A	8	HS	High School	A	73.8	13.0	A
2.13	3.0		10.0	D	Sharif Rucker	08X332	32.8	Holcombe L. Rucker School of Community Research	C	8	HS	High School	B	55.1	9.3	C
62.37	4.5		3.9	D	Arthur Brown	08X333	7.2	P.S. 333 - The Museum School	C	8	EC	K-3	B	21.9	6.3	C
67.60	0.8	A	6.8	C	Erik Wright	08X335	24.9	The Academy of the Arts	B	8	EMS	Elementary	A	42.8	10.3	B
2.33	6.8	A	11.4	B	Andrea Cyprys	08X337	41.3	The School for Inquiry and Social Justice	A	8	EMS	Middle	B	68.2	8.7	A
2.45	0.0	A	3.6	F	Cameron Berube	08X366	0.0	Urban Assembly Academy of Civic Engagement	C	8	EMS	Middle	D	7.9	4.3	F
