site_name	program_type	location_1/latitude	location_1/human_address/address	location_1/human_address/city	location_1/human_address/state	location_1/human_address/zip	location_1/longitude	agency	borough_community	program	grade_level_age_group	contact_number
High School for Dual Language and Asian Studies	After-School Programs,NDA Programs,Youth Educational Support	40.716852373698316	350 Grand Street	New York	NEW YORK	10012	-73.98959502962896	Brooklyn Housing & Family Services, Inc.	New York	High-School Aged Youth	High School	(212) 941-0920
CPC Queens Branch Office	After-School Programs,NDA Programs,Youth Educational Support	40.76862022064671	136 18 39th Ave	Queens	NEW YORK	11354	-73.82719028070687	Brooklyn Housing & Family Services, Inc.	Queens	High-School Aged Youth	High School	(212) 941-0920
Citizens Advice Bureau	After-School Programs,NDA Programs,Youth Educational Support	40.852786838341956	1130 Grand	Bronx	NEW YORK	10453	-73.91342678431863	Brooklyn Housing & Family Services, Inc.	Bronx	High-School Aged Youth	High School	(718) 293-0727
August Martin High School	After-School Programs,NDA Programs,Youth Educational Support	40.6769452621142	156 10 Baisley Boulevard	Queens	NEW YORK	11434	-73.77530690169215	Brooklyn Housing & Family Services, Inc.	Queens	High-School Aged Youth	High School	(718) 523-6868
Community Mediation Services	After-School Programs,NDA Programs,Youth Educational Support	40.71311535449007	89 64 163rd Street	Queens	NEW YORK	11432	-73.79282099978928	Brooklyn Housing & Family Services	Queens	High-School Aged Youth	High School	(718) 523-6868
Far Rockaway High School	After-School Programs,NDA Programs,Youth Educational Support	40.60149950403276	821 Beach 25 Street	Queens	NEW YORK	11691	-73.76267972395415	CAMBA Adult Literacy Center	Queens	High-School Aged Youth	High School	(718) 523-6868
Council of Jewish Orgainzations of Flatbush, Inc.	After-School Programs,NDA Programs,Youth Educational Support	40.61969757437525	1550 Coney Island Avenue	Brooklyn	NEW YORK	11230	-73.96431415429318	CAMBA Adult Literacy Center	Brooklyn	High-School Aged Youth	High School	(718) 377-2900
The Urban Assembly School for Law and Justice	After-School Programs,NDA Programs,Youth Educational Support	40.6949894054037	283 Adams Street	Brooklyn	NEW YORK	11201	-73.98858815746328	School for Democracy and Leadership	Brooklyn	High-School Aged Youth	High School	(212) 362-4020
Youth Opportunity Center	After-School Programs,NDA Programs,Youth Educational Support	40.81448730256519	412 147th Street	Bronx	NEW YORK	10455	-73.91817521800282	Metropolitan Diploma Plus High School (K647)	Bronx	High-School Aged Youth	High School	(212) 366-8531
INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS (K524)	After-School Programs,NDA Programs,Youth Educational Support	40.67045865769921	883 CLASSON AVENUE	Brooklyn	NEW YORK	11225	-73.96162827573441	Park Slope Women's Shelter	Brooklyn	High-School Aged Youth	High School	(212) 226-2116
Harlem RBI	After-School Programs,NDA Programs,Youth Educational Support	40.78640079306385	1948 First Ave	New York	NEW YORK	10029	-73.94237167608117	CAMBA Healthy Families	New York	High-School Aged Youth	High School	(212) 722-1608
Henry Street Settlement's Helen Hall Youth Center	After-School Programs,NDA Programs,Youth Educational Support	40.71399949305981	301 Henry Street	New York	NEW YORK	10002	-73.98339877304709	CCCS South Bronx Center	New York	High-School Aged Youth	High School	(212) 766-9200
Grace Dodge Technical High School	After-School Programs,NDA Programs,Youth Educational Support	40.85598037390898	2474 Crotona Avenue	Bronx	NEW YORK	10458	-73.88255350719163	Lt. Joseph P. Kennedy, Jr. Memorial Community Center	Bronx	High-School Aged Youth	High School	(212) 575-7681
Rice High School	After-School Programs,NDA Programs,Youth Educational Support	40.80666728501622	74 124th	New York	NEW YORK	10027	-73.94502937839532	St. Cecilias R.C. Church	New York	High-School Aged Youth	High School	(212) 575-7681
Jacob Riis Neighborhood Settlement House	After-School Programs,NDA Programs,Youth Educational Support	40.74570244980828	10 25 41st Avenue	Queens	NEW YORK	11101	-73.93866902925225	Staten Island Community Center	Queens	High-School Aged Youth	High School	(718) 784-7447
Kingsbridge Heights Community Center	After-School Programs,NDA Programs,Youth Educational Support	40.877585488561785	3101 Kingsbridge Terrace	Bronx	NEW YORK	10463	-73.90026905620573	Project Bridge	Bronx	High-School Aged Youth	High School	(718) 884-0700
Mount Hope Community Center	After-School Programs,NDA Programs,Youth Educational Support	40.847312989377464	55 175th Street	Bronx	NEW YORK	10453	-73.91136475443619	Dr. White Community Center	Bronx	High-School Aged Youth	High School	(718) 446-3600
Jacobi Medical Center Nurses Residence/ NIDS Young Adult Center	After-School Programs,NDA Programs,Youth Educational Support	40.8770479121315	1400 Pelham Parkway	Bronx	NEW YORK	10467	-73.87153250082423	St. John The Baptist School	Bronx	High-School Aged Youth	High School	(718) 231-9800
OBT Bushwick	After-School Programs,NDA Programs,Youth Educational Support	40.70091258928835	25 Thornton Street	Brooklyn	NEW YORK	11206	-73.94390057487814	Project Bridge	Brooklyn	High-School Aged Youth	High School	(718) 369-0303
The Classic Center	After-School Programs,NDA Programs,Youth Educational Support	40.82187173099877	286 156 Street	Bronx	NEW YORK	10451	-73.91985340007419	Center for the Integration and Advancement of New Americans	Bronx	High-School Aged Youth	High School	(212) 243-9090
Voyagees Prepatory High School	After-School Programs,NDA Programs,Youth Educational Support							Central Brooklyn Economic Development Corporation	Queens	High-School Aged Youth	High School	(718) 592-5757
W. H. MAXWELL CAREER AND TECHNICAL EDUCATION HIGH SCHOOL (K6	After-School Programs,NDA Programs,Youth Educational Support	40.67427105978777	145 PENNSYLVANIA AVENUE	Brooklyn	NEW YORK	11207	-73.89645242892882	The Children's Art Carnival	Brooklyn	High-School Aged Youth	High School	(718) 951-5015
PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL (K507)	After-School Programs,NDA Programs,Youth Educational Support	40.66758249616387	400 PENNSYLVANIA AVENUE	Brooklyn	NEW YORK	11210	-73.89480852584767	PS 173	Brooklyn	High-School Aged Youth	High School	(718) 951-5015
PAUL ROBESON HIGH SCHOOL (K625)	After-School Programs,NDA Programs,Youth Educational Support	40.675468738365176	150 ALBANY AVENUE	Brooklyn	NEW YORK	11213	-73.93887526821858	Marble Hill Community Center	Brooklyn	High-School Aged Youth	High School	(718) 951-5015
ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A CO	After-School Programs,NDA Programs,Youth Educational Support	40.649532936565414	911 FLATBUSH AVENUE	Brooklyn	NEW YORK	11226	-73.95845755993555	High School for Dual Language and Asian Studies	Brooklyn	High-School Aged Youth	High School	(718) 951-5015
BRONX LEADERSHIP ACADEMY II HIGH SCHOOL (X527)	After-School Programs,NDA Programs,Youth Educational Support	40.82743805805522	1100 BOSTON ROAD	Bronx	NEW YORK	10456	-73.904676763458	CPC Queens Branch Office	Bronx	High-School Aged Youth	High School	(718) 665-2486
Sauti Yetu Center for African Women	After-School Programs,NDA Programs,Youth Educational Support	40.80866870742841	2417 Third Avenue	Bronx	NEW YORK	10451	-73.93066171207002	Citizens Advice Bureau	Bronx	High-School Aged Youth	High School	(718) 665-2486
New Horizons Adullt Education Program	After-School Programs,NDA Programs,Youth Educational Support	40.69500799941421	75 lewis Avenue	Brooklyn	NEW YORK	11206	-73.93742230252869	Citizen	Brooklyn	High-School Aged Youth	High School	(718) 455-1166
P.S. 503/506	After-School Programs,NDA Programs,Youth Educational Support	40.64220161479856	330 59th Street	Brooklyn	NEW YORK	11220	-74.0191758017247	Citizens Advice Bureau	Brooklyn	High-School Aged Youth	High School	(718) 788-3500
Bridges Juvenile Center	After-School Programs,NDA Programs,Youth Educational Support	40.81394468134922	1221 Spofford Avenue	Bronx	NEW YORK	10474	-73.89064037308685	Burnside Avenue Office	Bronx	High-School Aged Youth	High School	(718) 732-7523
Pan American International High School (PAIHS)	After-School Programs,NDA Programs,Youth Educational Support	40.831280981918596	1300 Boynton Avenue	Bronx	NEW YORK	10472	-73.87881047207371	Citizens Advice Bureau	Bronx	High-School Aged Youth	High School	(718) 732-7523
HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY (X275)	After-School Programs,NDA Programs,Youth Educational Support	40.875978648353474	800 GUN HILL ROAD	Bronx	NEW YORK	10467	-73.8621066953495	Citizens Advice Bureau	Bronx	High-School Aged Youth	High School	(718) 732-7523
NEW YORK HARBOR SCHOOL (K551)	After-School Programs,NDA Programs,Youth Educational Support	40.69697946567666	400 IRVING AVENUE	Brooklyn	NEW YORK	11237	-73.91084445466608	Citizens Advice	Brooklyn	High-School Aged Youth	High School	(212) 748-8594
DeWitt	After-School Programs,NDA Programs,Youth Educational Support	40.88178360066122	100 Mosholu Parkway	Bronx	NEW YORK	10468	-73.88672516295283	Citizen	Bronx	High-School Aged Youth	High School	(718) 786-7110
FREDERICK DOUGLASS ACADEMY (M499)	After-School Programs,NDA Programs,Youth Educational Support	40.82438364705368	2581 7 AVENUE	New York	NEW YORK	10039	-73.93690714053237	Citizens Advice	New York	High-School Aged Youth	High School	(347) 417-8122
St. Raymond Community Outreach	After-School Programs,NDA Programs,Youth Educational Support	40.84055252060703	1720 Metropolitan Avenue	Bronx	NEW YORK	10462	-73.85386559291338	Citizens Advice Bureau	Bronx	High-School Aged Youth	High School	(718) 824-0353
I.S. 5 - THE WALTER CROWLEY INTERMEDIATE SCHOOL (Q005)	After-School Programs,NDA Programs,Youth Educational Support	40.73871040256307	50 40 JACOBUS STREET	Queens	NEW YORK	11373	-73.87835115518163	August Martin High School	Queens	High-School Aged Youth	High School	(718) 784-6173
The Child Center	After-School Programs,NDA Programs,Youth Educational Support	40.6769452621142	115 15 Sutphin Blvd	Queens	NEW YORK	11434	-73.77530690169215	Community Mediation Services	Queens	High-School Aged Youth	High School	(718) 458-4243
Manhattan Center for Science and Mathematics	After-School Programs,NDA Programs,Youth Educational Support	40.79480422455373	280 Pleasant Avenue	New York	NEW YORK	10029	-73.93330103742075	Far Rockaway High School	New York	High-School Aged Youth	High School	(212) 284-4587
Turning Point HDFC (Main Office)	After-School Programs,NDA Programs,Youth Educational Support	40.64235365356344	5013 7th Avenue	Brooklyn	NEW YORK	11220	-74.00596380753073	Fredrick Douglas Academy VI High School	Brooklyn	High-School Aged Youth	High School	(718) 360-8166
David Ruggles I.S. 258	After-School Programs,NDA Programs,Youth Educational Support	40.681569834987634	141 Macon Street	Brooklyn	NEW YORK	11216	-73.94559613967623	Haber, Bernard Senior Houses	Brooklyn	High-School Aged Youth	High School	(718) 453-3330
Vannguard Urban Improvement Association, Inc.	After-School Programs,NDA Programs,Youth Educational Support	40.680758670876	613 619 Throop Avenue	Brooklyn	NEW YORK	11216	-73.94926775090596	Gravesend Houses	Brooklyn	High-School Aged Youth	High School	(718) 453-3330
Variety Boys & Girls Club of Queens	After-School Programs,NDA Programs,Youth Educational Support	40.77152402451418	21 12 30th Road	Queens	NEW YORK	11102	-73.92643545073543	O'Dwyer Gardens	Queens	High-School Aged Youth	High School	(718) 728-0946
YWCA of Queens	After-School Programs,NDA Programs,Youth Educational Support	40.7512997969481	42 07 Parsons Blvd	Queens	NEW YORK	11355	-73.82147854789662	Manhattanville Houses Senior Center	Queens	High-School Aged Youth	High School	(718) 353-4553
Agudath Isreal of America Community Services Inc.	Family Support,NDA Programs	40.63262749295582	4002 18th Avenue	Brooklyn	NEW YORK	11218	-73.97325700013214	Shorefront YM-YWHA of Brighton-Manhattan Beach, Inc.	Brooklyn	Housing	Adults	(718) 435-1300
Agudath Isreal of America Community Services Inc.	Family Support,NDA Programs	40.63020611696117	4520 18th Avenue	Brooklyn	NEW YORK	11204	-73.97835931750974	Bridges Juvenile Center	Brooklyn	Housing	Adults	(718) 435-1300
AIDS Center of Queens County Jamaica Site	Family Support,NDA Programs							St. Luke A.M.E Church	Queens	Housing	Adults	(718) 896-2500
Aids Center of Queens County	Family Support,NDA Programs	40.60526421293615	1600 Central Avenue	Queens	NEW YORK	11691	-73.75189171476596	International Tower for Seniors	Queens	Housing	Adults	(718) 896-2500
Astella Development Corporation	Family Support,NDA Programs	40.57669440227222	1618 Mermaid Avenue	Brooklyn	NEW YORK	11224	-73.98392108015646	Baisley Park Houses	Brooklyn	Housing	Adults	(718) 266-4653
BCA Main Community Services Center	Family Support,NDA Programs	40.641104606526014	5000 8th Ave	Brooklyn	NEW YORK	11220	-74.0037599239347	South Jamaica Houses	Brooklyn	Housing	Adults	(718) 438-0008
Brooklyn Housing & Family Services, Inc.	Family Support,NDA Programs	40.67086337854138	1281 Saint Johns Place	Brooklyn	NEW YORK	11213	-73.9358398249695	Cooper Square Committee	Brooklyn	Housing	Adults	(718) 435-7585
Brooklyn Housing & Family Services, Inc.	Family Support,NDA Programs	40.64548060202624	415 Albemarle Road	Brooklyn	NEW YORK	11218	-73.97668803303637	Council of Jewish Orgainzations of Flatbush, Inc.	Brooklyn	Housing	Adults	(718) 435-7585
Brooklyn Housing & Family Services	Family Support,NDA Programs	40.65506083208495	130 Clarkson Avenue	Brooklyn	NEW YORK	11226	-73.95545066497733	Council of Jewish Orgainzations of Flatbush, Inc.	Brooklyn	Housing	Adults	(718) 435-7585
Brooklyn Housing & Family Services, Inc.	Family Support,NDA Programs	40.64548060202624	415 Albemarle Road	Brooklyn	NEW YORK	11218	-73.97668803303637	Council of Jewish Orgainzations of Flatbush, Inc.	Brooklyn	Housing	Adults	(718) 435-7585
Park Slope Women's Shelter	Family Support,NDA Programs	40.66272539519599	1402 8th Avenue	Brooklyn	NEW YORK	11215	-73.98177254331561	Council of Jewish Organization of Flatbush, Inc.	Brooklyn	Housing	Adults	(718) 287-2600
CCCS South Bronx Center	Family Support,NDA Programs	40.81817645315781	402 152 Street	Bronx	NEW YORK	10455	-73.9167329669976	Council of Jewish Orgainzations of Flatbush, Inc.	Bronx	Housing	Adults	(212) 371-1011
Lt. Joseph P. Kennedy, Jr. Memorial Community Center	Family Support,NDA Programs	40.812765068123156	34 134 Street	New York	NEW YORK	10037	-73.93981755530723	Council of Jewish Organization of Flatbush, Inc.	New York	Housing	Adults	(212) 371-1011
St. Cecilias R.C. Church	Family Support,NDA Programs	40.79190439287778	125 105th Street	New York	NEW YORK	10029	-73.9475075400997	Crown Heights Jewish Community Council	New York	Housing	Adults	(212) 371-1011
Staten Island Community Center	Family Support,NDA Programs	40.63485695828682	120 Anderson Avenue	New York	NEW YORK	10302	-74.13431022011272	Hostos-Lincoln Academy of Science	New York	Housing	Adults	(212) 371-1011
Citizen	Family Support,NDA Programs	40.812893537386145	632 Southern Boulevard	Bronx	NEW YORK	10455	-73.90133270321454	I.S.117 JOSEPH H WADE (X117)	Bronx	Housing	Adults	(718) 293-0727
Citizens Advice Bureau	Family Support,NDA Programs	40.841513488175195	1477 Townsend Avenue	Bronx	NEW YORK	10452	-73.9156620372896	Castle Hill School (JHS 127)	Bronx	Housing	Adults	(718) 293-0727
Burnside Avenue Office	Family Support,NDA Programs	40.84579837129786	2070 Grand	Bronx	NEW YORK	10457	-73.89832418681175	SATELLITE EAST MIDDLE SCHOOL (K301)	Bronx	Housing	Adults	(718) 293-0727
Citizens Advice Bureau	Family Support,NDA Programs	40.86785065240455	2925 Grand	Bronx	NEW YORK	10468	-73.89951166617763	JHS 166 GEORGE GERSHWIN (K166)	Bronx	Housing	Adults	(718) 293-0727
Cooper Square Committee	Family Support,NDA Programs	40.726940950792155	61 4th street	New York	NEW YORK	10003	-73.99113355652129	JHS 259 WILLIAM MCKINLEY (K259)	New York	Housing	Adults	(212) 228-8210
Council of Jewish Orgainzations of Flatbush, Inc.	Family Support,NDA Programs	40.61969757437525	1550 Coney Island Avenue	Brooklyn	NEW YORK	11230	-73.96431415429318	MOTT HALL IV (K522)	Brooklyn	Housing	Adults	(718) 377-2900
Cypress Hills Local Development	Family Support,NDA Programs	40.68241352010474	3214 Fulton Street	Brooklyn	NEW YORK	11208	-73.87644758308613	THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE (M670)	Brooklyn	Housing	Adults	(718) 674-2800
FAC Center for Community Development	Family Support,NDA Programs	40.67856008836107	621 DeGraw Street	Brooklyn	NEW YORK	11217	-73.98179843826873	Cypress Hills Local Development	Brooklyn	Housing	Adults	(718) 237-2017
Harlem Justice Center	Family Support,NDA Programs	40.801297147584464	170 121st Street	New York	NEW YORK	10035	-73.93814870665933	The Urban Assembly School for Law and Justice	New York	Housing	Adults	(212) 473-8090
Legal Services NYC-Bronx	Family Support,NDA Programs	40.817333922357264	579 Courtlandt Avenue	Bronx	NEW YORK	10451	-73.91922030804731	Abigail Mejia Technology Center	Bronx	Housing	Adults	(718) 928-3736
Help USA - HomeBase	Family Support,NDA Programs	40.84084518091378	775 Crotona Park	Bronx	NEW YORK	10460	-73.89176778761463	PS 128	Bronx	Housing	Adults	(718) 928-3736
Manhattan Legal Services	Family Support,NDA Programs	40.80727920374443	55 125 Street	New York	NEW YORK	10027	-73.94430517223344	Edith and Carl Marks Jewish Community House of Bensonhurst	New York	Housing	Adults	(646) 442-3142
Morrisania Revitalization Corporation	Family Support,NDA Programs	40.825676237691496	576 165th Street	Bronx	NEW YORK	10456	-73.90667186682938	Youth Opportunity Center	Bronx	Housing	Adults	(718) 589-7858
Northern Manhattan Improvement Corporation	Family Support,NDA Programs	40.84705167605878	76 Wadsworth Avenue	New York	NEW YORK	10033	-73.93704472494271	F.E.G.S Brooklyn Resource Center	New York	Housing	Adults	(212) 822-8300
Queens Community House	Family Support,NDA Programs	40.720707263029794	108 25 62nd Drive	Queens	NEW YORK	11375	-73.84628429608335	FAC Center for Community Development	Queens	Housing	Adults	(718) 592-5757
Queens Community in Jackson Heights	Family Support,NDA Programs	40.75163073936716	74 09 37th Avenue	Queens	NEW YORK	11372	-73.88361254528269	Agnes Y. Humphrey School for Leadership 27 (K027)	Queens	Housing	Adults	(718) 592-5757
Rego Park Center	Family Support,NDA Programs	40.72646491702238	93 29 Queens Boulevard	Queens	NEW YORK	11374	-73.86148084756303	PS 015 PATRICK F. DALY (K015)	Queens	Housing	Adults	(718) 592-5757
RBSCC	Family Support,NDA Programs	40.7021176575353	217 Wyckoff Avenue	Brooklyn	NEW YORK	11237	-73.91565860141604	Red Hook Youth Court Internship	Brooklyn	Housing	Adults	(718) 366-3800
Shorefront Jewish Community Council	Family Support,NDA Programs	40.578431288322754	3049 Brighton 6th Street	Brooklyn	NEW YORK	11235	-73.961743706863	Flatbush Development Corporation	Brooklyn	Housing	Adults	(718) 743-0575
Office of Senator Kruger	Family Support,NDA Programs	40.60123350732056	2201 Avenue	Brooklyn	NEW YORK	11229	-73.94436854117521	Erasmus H.S. of Service Learning	Brooklyn	Housing	Adults	(718) 743-0575
Jay Harama Senior Center	Family Support,NDA Programs	40.598089925353555	2600 Ocean Avenue	Brooklyn	NEW YORK	11229	-73.95126983806618	Harlem Justice Center	Brooklyn	Housing	Adults	(718) 743-0575
South Brooklyn Legal Services, Inc.	Family Support,NDA Programs	40.69083358302672	105 Court Street	Brooklyn	NEW YORK	11201	-73.9917782688907	INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS (K524)	Brooklyn	Housing	Adults	(718) 237-5500
Los Sures	Family Support,NDA Programs	40.71462907055141	213 4th Street	Brooklyn	NEW YORK	11211	-73.95698223986747	Middle School 206	Brooklyn	Housing	Adults	(718) 387-3600
Stryckers Bay Neighborhood Council, Inc.	Family Support,NDA Programs	40.78699949198375	61 87th Street	New York	NEW YORK	10024	-73.97127583989214	Refugee and Immigrant Services	New York	Housing	Adults	(212) 874-7272
Project Home	Family Support,NDA Programs	40.7221795297894	189 Allen	New York	NEW YORK	10002	-73.98910722393583	Refugee and Immigrant Services	New York	Housing	Adults	(212) 674-9120
Mothers on the Move	Family Support,NDA Programs	40.820040018263235	928 Intervale Ave	Bronx	NEW YORK	10459	-73.8966656329332	Grand Street Settlement	Bronx	Housing	Adults	(646) 459-3002
Mirabal Sisters Cultural and Community Center Office Space	Family Support,NDA Programs	40.825013834162235	618 142 Street	New York	NEW YORK	10031	-73.95303758913792	Grand Street Settlement	New York	Housing	Adults	(646) 459-3002
WHIC	Family Support,NDA Programs	40.85360240438229	652 187 Street	New York	NEW YORK	10033	-73.932345278359	Grand Street Settlement	New York	Housing	Adults	(212) 781-6722
Citizens Advice Bureau	NDA Programs,Immigration Services,Immigrant Support Services	40.852786838341956	1130 Grand	Bronx	NEW YORK	10453	-73.91342678431863	Baruch Houses (Senior Building)	Bronx	Immigrant	Adults	(718) 293-0727
Citizens Advice	NDA Programs,Immigration Services,Immigrant Support Services	40.84579837129786	2070 Grand	Bronx	NEW YORK	10457	-73.89832418681175	Greenhope Services for Women	Bronx	Immigrant	Adults	(718) 293-0727
F.E.G.S Brooklyn Resource Center	NDA Programs,Immigration Services,Immigrant Support Services	40.60700851986621	938 Kings Highway	Brooklyn	NEW YORK	11223	-73.96282101223699	JHS 292 MARGARET S DOUGLAS (K292)	Brooklyn	Immigrant	Adults	(212) 366-8531
Refugee and Immigrant Services	NDA Programs,Immigration Services,Immigrant Support Services	40.61789996472653	1416 Ave M	Brooklyn	NEW YORK	11230	-73.96077504128672	Guardians of the Sick, Inc.	Brooklyn	Immigrant	Adults	(718) 777-6326
Refugee and Immigrant Services	NDA Programs,Immigration Services,Immigrant Support Services	40.61772526251982	1222 Ave M	Brooklyn	NEW YORK	11230	-73.96227992950067	Harlem Commonwealth Council	Brooklyn	Immigrant	Adults	(718) 777-6326
Make the Road New York	NDA Programs,Immigration Services,Immigrant Support Services	40.698428502523264	301 Grove Street	Brooklyn	NEW YORK	11237	-73.91562347499381	Harlem RBI	Brooklyn	Immigrant	Adults	(347) 243-7249
Make the Road New York	NDA Programs,Immigration Services,Immigrant Support Services	40.75163073936716	92 10 Roosevelt Avenue	Queens	NEW YORK	11372	-73.88361254528269	Hebrew Educational Society	Queens	Immigrant	Adults	(347) 243-7249
Make the Road New York Staten Island	NDA Programs,Immigration Services,Immigrant Support Services	40.63093452909704	479 Port Richmond Avenue	Staten Island	NEW YORK	10302	-74.13901464968129	Henry Street Settlement's Helen Hall Youth Center	Staten Island	Immigrant	Adults	(347) 243-7249
Northern Manhattan Improvement Corporation	NDA Programs,Immigration Services,Immigrant Support Services	40.84705167605878	76 Wadsworth Avenue	New York	NEW YORK	10033	-73.93704472494271	Vladeck Cares	New York	Immigrant	Adults	(212) 822-8300
Tolentine-Zeiser Community Center/St. Ritas	NDA Programs,Immigration Services,Immigrant Support Services	40.86173644443041	2342 Andrews Avenue	Bronx	NEW YORK	10468	-73.9070403710398	Good Companions Senior center	Bronx	Immigrant	Adults	(718) 933-6935
U.C.C. Immigration Program	NDA Programs,Immigration Services,Immigrant Support Services	40.66472649825768	613 New Lots Avenue	Brooklyn	NEW YORK	11207	-73.88659110359023	Highbridge Community Life Center Adult Education and Training	Brooklyn	Immigrant	Adults	(718) 649-7979
Bronx River Art Center	After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support	40.84006972385026	1087 Tremont Avenue	Bronx	NEW YORK	10460	-73.87771805339278	Highbridge Community Life Center Family & Community Services	Bronx	Middle School Youth	Middle School	(718) 589-5819
Marble Hill Community Center	After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support	40.877114656259685	210 230 Street	NEW YORK		10463	-73.90703320994471	Homecrest Community Services, Inc.	10463	Middle School Youth	Middle School	(212) 923-7766
Fredrick Douglas Academy VI High School	After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support	40.60149950403276	821 Beach 25 Street	Queens	NEW YORK	11691	-73.76267972395415	Grace Dodge Technical High School	Queens	Middle School Youth	Middle School	(718) 523-6868
Hostos-Lincoln Academy of Science	After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support	40.82069640711353	475 Grand	Bronx	NEW YORK	10451	-73.92384136798472	Rice High School	Bronx	Middle School Youth	Middle School	(212) 652-2812
I.S.117 JOSEPH H WADE (X117)	After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support	40.84854841840716	1865 MORRIS AVENUE	Bronx	NEW YORK	10453	-73.90843506819625	PS 126 JACOB AUGUST RIIS (M126)	Bronx	Middle School Youth	Middle School	(212) 652-2812
Castle Hill School (JHS 127)	After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support	40.8380147405672	1560 Purdy Street	Bronx	NEW YORK	10462	-73.85351983364767	SHoP Architects	Bronx	Middle School Youth	Middle School	(212) 652-2812
SATELLITE EAST MIDDLE SCHOOL (K301)	After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support	40.68608138476944	344 MONROE STREET	Brooklyn	NEW YORK	11216	-73.94498226829275	The River Project	Brooklyn	Middle School Youth	Middle School	(212) 652-2812
JHS 166 GEORGE GERSHWIN (K166)	After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support	40.66022169812547	800 VAN SICLEN AVENUE	Brooklyn	NEW YORK	11207	-73.88548545784624	IPR/HE Brooklyn Caregivers	Brooklyn	Middle School Youth	Middle School	(212) 652-2812
JHS 259 WILLIAM MCKINLEY (K259)	After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support	40.62673254824293	7301 FT HAMILTON PARKWAY	Brooklyn	NEW YORK	11228	-74.01500752094381	Elmhurst Jackson Heights Senior Center	Brooklyn	Middle School Youth	Middle School	(212) 652-2812
MOTT HALL IV (K522)	After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support	40.677823649731764	1137 HERKIMER STREET	Brooklyn	NEW YORK	11233	-73.91583166723669	IS 52	Brooklyn	Middle School Youth	Middle School	(212) 652-2812
THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE (M670)	After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support	40.81534829984385	200 135 STREET	New York	NEW YORK	10030	-73.94389284582877	Italian American Civil Rights League	New York	Middle School Youth	Middle School	(212) 652-2812
Flatbush Development Corporation	After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support	40.6359962740795	1616 Newkirk Avenue	Brooklyn	NEW YORK	11226	-73.96230212887792	Jacob Riis Neighborhood Settlement House	Brooklyn	Middle School Youth	Middle School	(718) 859-3800
Erasmus H.S. of Service Learning	After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support	40.649532936565414	911 Flatbush Avenue	Brooklyn	NEW YORK	11226	-73.95845755993555	Jacob Riis Neighborhood Settlement House	Brooklyn	Middle School Youth	Middle School	(718) 859-3800
Middle School 206	After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support	40.8596801783553	2280 Aqueduct Avenue	Bronx	NEW YORK	10468	-73.9064756029789	I.S. 126 - The Albert Shanker School for the Visual and Performing Arts	Bronx	Middle School Youth	Middle School	(212) 243-7070
Grand Street Settlement	After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support	40.718892797836546	80 Pitt Street	New York	NEW YORK	10002	-73.98215902487652	Jewish Community Council of Greater Coney Island, Inc	New York	Middle School Youth	Middle School	(646) 201-4288
JHS 292 MARGARET S DOUGLAS (K292)	After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support	40.67232012790976	301 VERMONT STREET	Brooklyn	NEW YORK	11207	-73.89398085584912	Kingsbridge Heights Community Center	Brooklyn	Middle School Youth	Middle School	(718) 346-2200
PS 126 JACOB AUGUST RIIS (M126)	After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support	40.710854298398544	80 CATHERINE STREET	New York	NEW YORK	10038	-73.9966721705172	Our Lady of Sorrows School	New York	Middle School Youth	Middle School	(212) 571-1840
SHOP Architects	After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support	40.71280919567413	11 Park Place	New York	NEW YORK	10002	-74.00819922943185	Legal Services NYC-Bronx	New York	Middle School Youth	Middle School	(212) 571-1840
The River Project	After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support	40.73358645135369	40 Hudson &amp; West Streets	New York	NEW YORK	10014	-74.01019960472792	Help USA - HomeBase	New York	Middle School Youth	Middle School	(212) 571-1840
